scaled_WhiteElo,scaled_Centipawns,scaled_ThinkingTime,prediction
0.2621035,0.4937111,0.4841332,3
0.8572621,0.5,0.48370534,6
0.5634391,0.50045854,0.4822078,9
0.44824708,0.50068784,0.48263568,5
0.7412354,0.50753355,0.4822078,1
0.533389,0.5607599,0.48227912,0
0.5542571,0.51673764,0.48320615,9
0.61018366,0.5,0.4822078,9
0.046744574,0.5176875,0.48320615,2
0.24791318,0.50320995,0.48227912,3
0.590985,0.49918112,0.48420453,9
0.29716194,0.50104815,0.48391926,8
0.630217,0.5223714,0.48227912,9
0.1669449,0.49338356,0.48313484,2
0.55759597,0.49737963,0.48441845,9
0.78046745,0.50117916,0.48263568,1
0.5,0.5176875,0.4822078,0
0.721202,0.49859154,0.4845611,7
0.2729549,0.48067474,0.48420453,3
0.23205343,0.48689812,0.48227912,3
0.18447413,0.49980348,0.48320615,3
0.25041735,0.500131,0.48263568,3
0.4390651,0.51487064,0.48227912,5
0.51836395,0.2599738,0.4822078,0
0.3772955,0.48300034,0.4828496,5
0.46744573,0.505339,0.4822078,0
0.6126878,0.49731413,0.4829209,9
0.6160267,0.5203734,0.4834201,9
0.875626,0.50307894,0.4829209,6
0.6235392,0.4988536,0.48249304,9
0.55592656,0.5066492,0.4822078,9
0.615192,0.47572878,0.48299223,9
0.52003336,0.5199476,0.48227912,0
0.56510854,0.51460856,0.48249304,9
0.68948245,0.49679005,0.48256436,7
0.68948245,0.49672455,0.48277828,7
0.43739566,0.5035375,0.48242173,5
0.62687814,0.52603996,0.48242173,9
0.37228715,0.513888,0.482707,8
0.5400668,0.49679005,0.48448977,0
0.5400668,0.49679005,0.4864865,0
0.5383973,0.5007861,0.4822078,0
0.09098498,0.51536196,0.48484632,2
0.5133556,0.50176877,0.4829209,0
0.7512521,0.5182443,0.48227912,1
0.8088481,0.50176877,0.48235044,1
0.36560935,0.4900098,0.48812664,8
0.77963275,0.51493615,0.4821365,1
0.18781303,0.49941042,0.48227912,3
0.20534223,0.4768097,0.48306355,3
0.4724541,0.52361614,0.48448977,0
0.7587646,0.47893876,0.48605862,1
0.28046745,0.5175893,0.48434713,3
0.84307176,0.51690143,0.5030307,6
0.14524207,0.4845398,0.48399058,2
0.5751252,0.48283654,0.4834201,9
0.7161937,0.4762856,0.4828496,7
0.6836394,0.51274157,0.4841332,7
0.49916527,0.50298065,0.48256436,0
0.4315526,0.50091714,0.4821365,5
0.46828046,0.5251556,0.48249304,0
0.5993322,0.50062233,0.48206517,9
0.7487479,0.5013757,0.48434713,1
0.4457429,0.5024238,0.4821365,5
0.2003339,0.48768425,0.4879127,3
0.21869783,0.49498853,0.4828496,3
0.4382304,0.45237473,0.482707,5
0.730384,0.5040616,0.48263568,1
0.42070118,0.4976744,0.4829209,5
0.21619366,0.51709795,0.48277828,3
0.19198665,0.5177203,0.48249304,3
0.41402337,0.5020963,0.4821365,5
0.77378964,0.5021618,0.48484632,1
0.65025043,0.50039303,0.48391926,7
0.56010014,0.47490993,0.4829209,9
0.50166947,0.4986898,0.48263568,0
0.6535893,0.5179496,0.48242173,7
0.38647747,0.5157222,0.48249304,5
0.14858097,0.49279398,0.48235044,2
0.67195326,0.501998,0.48242173,7
0.8096828,0.5119882,0.48235044,1
0.8096828,0.4674091,0.48227912,1
0.28130218,0.5026859,0.4822078,3
0.47829717,0.50357026,0.48235044,0
0.25626042,0.46220112,0.4822078,3
0.88898164,0.5095971,0.48256436,6
0.88898164,0.5130691,0.48263568,6
0.33806345,0.50579756,0.48263568,8
0.47829717,0.5000328,0.4829209,0
0.7687813,0.50081885,0.4822078,1
0.5993322,0.49685556,0.48227912,9
0.82554257,0.4867671,0.48227912,6
0.7612688,0.48152637,0.48277828,1
0.39983305,0.4827383,0.4822078,5
0.5,0.49941042,0.48506024,0
0.5,0.5003275,0.48349142,0
0.8238731,0.48018342,0.48227912,6
0.6051753,0.50085163,0.48242173,9
0.5100167,0.47042254,0.48249304,0
0.7370618,0.50117916,0.48256436,1
0.16444074,0.49158204,0.4822078,2
0.5,0.51195544,0.48363402,0
0.7145242,0.5,0.48235044,7
0.58764607,0.4880773,0.48235044,9
0.4799666,0.5093023,0.48320615,0
0.18447413,0.50045854,0.48242173,3
0.5951586,0.4843105,0.4834201,9
0.9156928,0.4831641,0.48242173,6
0.69532555,0.4786112,0.4822078,7
0.46828046,0.49764165,0.48513156,0
0.41652754,0.50330824,0.4822078,5
0.37479132,0.49888635,0.48242173,5
0.37479132,0.46983296,0.48420453,5
0.10267112,0.49937767,0.48227912,2
0.54924875,0.49859154,0.48520288,9
0.54924875,0.47517195,0.48227912,9
0.624374,0.48231247,0.4821365,9
0.88814694,0.49020636,0.48263568,6
0.38564274,0.49973795,0.4822078,5
0.58013356,0.52119225,0.48427582,9
0.67529213,0.49950868,0.48306355,7
0.38647747,0.50101537,0.4821365,5
0.3772955,0.53701276,0.48299223,5
0.46076795,0.50848347,0.48242173,0
0.6869783,0.4887324,0.48249304,7
0.39232054,0.47805437,0.48235044,5
0.5717863,0.50363576,0.4822078,9
0.11435726,0.5114314,0.48263568,2
0.8238731,0.53707826,0.48227912,6
0.37145242,0.4975434,0.4828496,8
0.5409015,0.50147396,0.48249304,0
0.37312186,0.50104815,0.48206517,8
0.41235393,0.4803472,0.48256436,5
0.6360601,0.5000328,0.48227912,7
0.6936561,0.4921389,0.48434713,7
0.48414025,0.48260728,0.48299223,0
0.62771285,0.5,0.48313484,9
0.26293823,0.5128726,0.4835627,3
0.845576,0.46600065,0.48327747,6
0.84974957,0.5039961,0.48227912,6
0.7821369,0.50108093,0.48227912,1
0.8981636,0.508549,0.4829209,6
0.76043403,0.49757615,0.48570207,1
0.7278798,0.50121194,0.48242173,1
0.4657763,0.49633148,0.48327747,0
0.6402337,0.5043564,0.48277828,7
0.16944908,0.5109073,0.48249304,2
0.7237062,0.5013757,0.48249304,1
0.8380634,0.49960694,0.4822078,6
0.7145242,0.50278413,0.48235044,7
0.43989983,0.5181133,0.4822078,5
0.3063439,0.49040288,0.48235044,8
0.75709516,0.49636424,0.48227912,1
0.75709516,0.5153947,0.48242173,1
0.4933222,0.50039303,0.48235044,0
0.6160267,0.48211595,0.48320615,9
0.6978297,0.50098264,0.4828496,7
0.111853085,0.4786767,0.48441845,2
0.53422374,0.49944317,0.482707,0
0.58013356,0.4849001,0.4822078,9
0.30884808,0.49793646,0.48256436,8
0.37896493,0.50835246,0.48313484,5
0.42070118,0.49642974,0.4822078,5
0.3739566,0.49554536,0.48399058,5
0.3739566,0.5252211,0.48434713,5
0.16861436,0.49957418,0.4822078,2
0.16110183,0.545398,0.4822078,2
0.61185306,0.52787423,0.4809242,9
0.7821369,0.49973795,0.48263568,1
0.26794657,0.50117916,0.48277828,3
0.26794657,0.53747135,0.48206517,3
0.8130217,0.51297086,0.482707,1
0.75626045,0.50776285,0.48349142,1
0.8572621,0.5000655,0.48263568,6
0.58764607,0.4932853,0.4822078,9
0.39232054,0.515886,0.48249304,5
0.39732888,0.50340647,0.48506024,5
0.78881466,0.5127088,0.48277828,1
0.45409015,0.5,0.48391926,5
0.4457429,0.50131017,0.48349142,5
0.39899832,0.49832952,0.48235044,5
0.63355595,0.4828693,0.48227912,7
0.7954925,0.5077301,0.48235044,1
0.7954925,0.5459548,0.48227912,1
0.3572621,0.5221094,0.48227912,8
0.3472454,0.5004913,0.48249304,8
0.3397329,0.48126432,0.482707,8
0.81051755,0.50101537,0.48256436,1
0.8297162,0.50094986,0.4840619,6
0.6285476,0.51012117,0.48277828,9
0.29465777,0.4986898,0.48242173,8
0.82470787,0.49462822,0.48320615,6
0.384808,0.49865705,0.48227912,5
0.515025,0.53065836,0.48741353,0
0.27796328,0.5023583,0.48384798,3
0.5617696,0.47487718,0.4821365,9
